debate,pagename,desc
2012PBocaRatonFL,october-22-2012-the-third-obama-romney-presidential-debate,"October 22, 2012 Debate Transcript"
2012PHempsteadNY,october-16-2012-the-second-obama-romney-presidential-debate,"October 16, 2012 Debate Transcript"
2012VDanvilleKY,october-11-2012-the-biden-romney-vice-presidential-debate,"October 11, 2012 Debate Transcript"
2012PDenverCO,october-3-2012-debate-transcript,"October 3, 2012 Debate Transcript"
2008POxfordMS,2008-debate-transcript,"September 26, 2008 Debate Transcript"
2008VStLouisMO,2008-debate-transcript-2,"October 2, 2008 Debate Transcript"
2008PNashvilleTN,october-7-2008-debate-transcrip,"October 7, 2008 Debate Transcript"
2008PHempsteadNY,october-15-2008-debate-transcript,"October 15, 2008 Debate Transcript"
2004PTempeAZ,october-13-2004-debate-transcript,"October 13, 2004 Debate Transcript"
2004PStLouisMO,october-8-2004-debate-transcript,"October 8, 2004 Debate Transcript"
2004VClevelandOH,october-5-2004-transcript,"October 5, 2004 Transcript"
2004PCoralGablesFL,september-30-2004-debate-transcript,September 30. 2004 Debate Transcript
2000PBostonMA,october-3-2000-transcript,"October 3, 2000 Transcript"
2000VViceDanvilleKY,october-5-2000-debate-transcript,"October 5, 2000 Debate Transcript"
2000PWinston-SalemNC,october-11-2000-debate-transcript,"October 11, 2000 Debate Transcript"
2000PStLouisMO,october-17-2000-debate-transcript,"October 17, 2000 Debate Transcript"
1996PHartfordCT,october-6-1996-debate-transcript,"October 6, 1996 Debate Transcript"
1996VStPetersburgFL,october-9-1996-debate-transcript,"October 9, 1996 Debate Transcript"
1996PSanDiegoCA,october-16-1996-debate-transcript,"October 16, 1996 Debate Transcript"
1992PStLouisMO_A,october-11-1992-first-half-debate-transcript,"October 11, 1992 First Half Debate Transcript"
1992PStLouisMO_B,october-11-1992-second-half-debate-transcript,"October 11, 1992 Second Half Debate Transcript"
1992VAtlantaGA,october-13-1992-debate-transcript,"October 13, 1992 Debate Transcript"
1992PRichmondVA_A,october-15-1992-first-half-debate-transcript,"October 15, 1992 First Half Debate Transcript"
1992PRichmondVA_B,october-15-1992-second-half-debate-transcript,"October 15, 1992 Second Half Debate Transcript"
1992PEastLansingMI,october-19-1992-debate-transcript,"October 19, 1992 Debate Transcript"
1988PWinston-SalemNC,september-25-1988-debate-transcript,"September 25, 1988 Debate Transcript"
1988VOmahaNE,october-5-1988-debate-transcripts,"October 5, 1988 Debate Transcripts"
1988PLosAngelesCA,october-13-1988-debate-transcript,"October 13, 1988 Debate Transcript"
1984PLouisvilleKY,october-7-1984-debate-transcript,"October 7, 1984 Debate Transcript"
1984VPhiladelphiaPN,october-11-1984-debate-transcript,"October 11, 1984 Debate Transcript"
1984PKansasCityMO,october-21-1984-debate-transcript,"October 21, 1984 Debate Transcript"
1980PBaltimoreMD,september-21-1980-debate-transcript,"September 21, 1980 Debate Transcript"
1980PClevelandOH,october-28-1980-debate-transcript,"October 28, 1980 Debate Transcript"
1976PPhiladelphiaPN,september-23-1976-debate-transcript,"September 23, 1976 Debate Transcript"
1976PSanFranciscoCA,october-6-1976-debate-transcript,"October 6, 1976 Debate Transcript"
1976PWilliamsburgVA,october-22-1976-debate-transcript,"October 22, 1976 Debate Transcript"
1960PChicagoIL,september-26-1960-debate-transcript,"September 26, 1960 Debate Transcript"
1960PWashingtonDC,october-7-1960-debate-transcript,"October 7, 1960 Debate Transcript"
1960PNewYorkandLosAngeles,october-13-1960-debate-transcript,"October 13, 1960 Debate Transcript"
1960PNewYorkNY,october-21-1960-debate-transcript,"October 21, 1960 Debate Transcript"
